epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5285.95,1.31494,0.66902,0.005,0.71586,0.5522,0.60048,0.34996,1.28274,0.59009,0.00676,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,5402.64,1.31534,0.6688,0.00499,0.73354,0.52762,0.62908,0.36406,1.2804,0.58541,0.00673,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5519.16,1.30852,0.66174,0.005,0.71564,0.54906,0.56964,0.34666,1.2756,0.59372,0.0067,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5635.83,1.30614,0.66398,0.00493,0.68616,0.61174,0.62285,0.35482,1.27684,0.58557,0.0067,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5752.72,1.3051,0.65812,0.00492,0.68033,0.60499,0.61523,0.34438,1.28004,0.58226,0.00672,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5869.42,1.29958,0.64814,0.00493,0.65955,0.61999,0.61644,0.34525,1.28286,0.57955,0.00672,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,5985.39,1.30348,0.65621,0.00498,0.68256,0.58286,0.59239,0.3488,1.28126,0.57975,0.00672,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6102.3,1.29807,0.65004,0.00492,0.67675,0.56585,0.56312,0.34735,1.27573,0.57897,0.00667,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,6220.71,1.29167,0.63709,0.00487,0.68384,0.55622,0.55461,0.34597,1.27363,0.58034,0.00665,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,6340.67,1.28722,0.64468,0.00486,0.66786,0.56114,0.55923,0.34458,1.27316,0.58505,0.00665,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,6459.8,1.29479,0.63406,0.00495,0.70242,0.54426,0.5604,0.34708,1.27257,0.58772,0.00666,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,6578.93,1.28513,0.63515,0.00487,0.71789,0.53864,0.56152,0.34518,1.27388,0.58345,0.00668,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,6698.24,1.28226,0.63868,0.00482,0.72819,0.54355,0.56199,0.34592,1.27567,0.5821,0.00669,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,6818.28,1.27528,0.62071,0.00481,0.71059,0.55897,0.55987,0.34468,1.27555,0.58058,0.00669,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,6938.85,1.2695,0.61873,0.00478,0.71581,0.54704,0.56038,0.34492,1.27431,0.57893,0.00668,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,7053.9,1.2747,0.62356,0.00476,0.71326,0.56366,0.57989,0.34795,1.2773,0.57738,0.0067,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,7169.93,1.26863,0.6147,0.00477,0.71204,0.56512,0.57872,0.34811,1.27759,0.57889,0.0067,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,7292.9,1.26395,0.61238,0.00477,0.70819,0.57331,0.5781,0.34792,1.27968,0.57841,0.00671,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,7424.98,1.27026,0.61196,0.00477,0.71228,0.55348,0.57744,0.34686,1.28079,0.57651,0.00675,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,7548.35,1.26122,0.60577,0.00473,0.71264,0.55267,0.57076,0.34796,1.27963,0.57728,0.00674,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,7664.16,1.25158,0.62279,0.00471,0.70513,0.56029,0.57202,0.34914,1.28092,0.57521,0.00674,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,7779.77,1.25946,0.61011,0.00474,0.71036,0.55646,0.57459,0.34977,1.28134,0.57586,0.00674,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,7896.35,1.25124,0.6025,0.00473,0.72653,0.55834,0.58701,0.34908,1.28284,0.57424,0.00676,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,8011.79,1.2495,0.59445,0.00464,0.70732,0.55879,0.61704,0.35535,1.28222,0.57601,0.00675,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,8127.89,1.24312,0.58176,0.00461,0.7265,0.55459,0.61807,0.35567,1.28264,0.5734,0.00675,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,8243.85,1.24538,0.58291,0.00468,0.72384,0.55853,0.61815,0.35555,1.28207,0.57322,0.00674,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,8359.26,1.23605,0.57351,0.00461,0.58289,0.68258,0.6214,0.35784,1.28179,0.57449,0.00674,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,8474.92,1.23674,0.57335,0.00462,0.59539,0.67171,0.61812,0.35728,1.28286,0.57493,0.00674,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,8591.06,1.23363,0.57258,0.00461,0.60952,0.66167,0.61938,0.35603,1.28298,0.57528,0.00675,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,8706.56,1.2322,0.57212,0.00463,0.61433,0.65493,0.62055,0.35691,1.28279,0.57423,0.00676,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,8821.34,1.22683,0.57108,0.00457,0.63165,0.64622,0.61797,0.35651,1.2828,0.5746,0.00675,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,8936.54,1.22692,0.5707,0.00459,0.59933,0.65257,0.61978,0.35167,1.28192,0.57478,0.00675,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,9052.31,1.21762,0.56209,0.0045,0.57608,0.666,0.61984,0.35643,1.28196,0.57475,0.00675,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,9167.2,1.21196,0.55291,0.00453,0.57456,0.67348,0.61861,0.35607,1.28252,0.57673,0.00675,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,9282.32,1.21312,0.54594,0.00452,0.56278,0.66894,0.61521,0.35548,1.28263,0.57916,0.00676,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,9398.04,1.21046,0.54862,0.00448,0.55101,0.67678,0.61718,0.35645,1.28274,0.57962,0.00676,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,9513.02,1.20755,0.55002,0.00446,0.55146,0.67503,0.61686,0.35564,1.28322,0.58082,0.00676,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,9629.44,1.20949,0.54651,0.00448,0.54969,0.67251,0.61392,0.35469,1.28356,0.58201,0.00676,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,9745.62,1.20194,0.54197,0.00442,0.55102,0.66957,0.61471,0.35509,1.28434,0.58173,0.00677,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
